line_id,usage_date,usage_id,data_amount
L309,2020-09-01,U542,4911
L878,2023-11-21,U543,7077
L778,2020-09-01,U544,8402
L287,2023-07-14,U545,6333
L690,2020-06-14,U546,2905
L250,2021-07-30,U547,6914
L931,2021-06-25,U548,2038
L972,2021-08-24,U549,8032
L522,2022-01-23,U550,806
L818,2020-11-12,U551,2473
L252,2022-12-29,U552,4061
L885,2020-10-24,U553,8787
L448,2021-01-27,U554,9641
L264,2022-12-05,U555,3995
L436,2021-01-12,U556,1767
L137,2023-06-21,U557,170
L727,2022-02-16,U558,8239
L645,2021-06-17,U559,9357
L486,2024-01-18,U560,8679
L830,2022-10-26,U561,3443
L385,2023-04-12,U562,4239
L577,2023-10-15,U563,364
L352,2020-07-28,U564,7984
L690,2022-11-18,U565,6054
L163,2022-10-10,U566,182
L232,2020-08-20,U567,3803
L135,2022-10-24,U568,7058
L829,2022-05-24,U569,9403
L524,2020-03-31,U570,1724
L754,2023-11-11,U571,5286
L319,2022-08-17,U572,1034
L883,2020-10-02,U573,3116
L265,2022-08-13,U574,5034
L072,2021-07-16,U575,8374
L200,2022-08-24,U576,1507
L533,2020-10-31,U577,8862
L665,2022-07-14,U578,1995
L036,2021-08-17,U579,7481
L922,2021-05-25,U580,3887
L964,2020-12-08,U581,7714
L607,2022-04-28,U582,200
L711,2023-01-30,U583,9203
L284,2021-11-24,U584,941
L647,2020-08-27,U585,6255
L252,2020-10-12,U586,7457
L514,2020-08-22,U587,241
L459,2020-09-16,U588,3266
L659,2023-12-04,U589,1932
L423,2021-07-10,U590,9001
L183,2021-10-23,U591,1842
L761,2021-10-23,U592,7151
L519,2021-08-13,U593,6443
L057,2022-05-28,U594,5924
L552,2021-11-02,U595,8395
L863,2020-06-17,U596,9805
L132,2024-01-16,U597,9092
L788,2020-09-28,U598,3677
L445,2021-05-09,U599,9966
L314,2023-05-30,U600,1237
L207,2022-09-25,U601,8105
L755,2022-09-02,U602,3431
L974,2022-04-22,U603,9664
L398,2023-02-16,U604,2523
L494,2022-06-23,U605,4382
L057,2022-04-17,U606,5431
L144,2021-09-08,U607,1689
L279,2022-05-25,U608,8920
L777,2021-11-11,U609,6615
L528,2022-05-23,U610,9187
L051,2023-08-04,U611,2600
L301,2020-06-22,U612,483
L563,2023-06-02,U613,8732
L908,2022-04-21,U614,6536
L515,2021-01-01,U615,7920
L167,2022-12-01,U616,6734
L890,2023-06-07,U617,3928
L728,2023-10-27,U618,4769
L845,2022-01-15,U619,8377
L162,2023-11-11,U620,7194
L165,2022-03-12,U621,8854
L033,2021-08-25,U622,9013
L155,2020-03-10,U623,785
L329,2021-10-20,U624,3389
L903,2020-08-23,U625,3849
L299,2020-09-25,U626,4209
L069,2020-05-24,U627,8086
L370,2022-06-19,U628,3844
L930,2023-08-09,U629,887
L834,2023-01-16,U630,569
L160,2022-04-15,U631,2718
L388,2022-05-20,U632,1830
L520,2022-03-24,U633,1817
L478,2022-10-15,U634,2543
L653,2022-05-28,U635,9759
L107,2022-12-29,U636,4479
L985,2020-03-19,U637,3008
L653,2021-11-04,U638,2188
L621,2024-01-04,U639,3766
L831,2022-06-22,U640,4206
L936,2023-11-18,U641,4668
L770,2022-03-23,U642,1205
L459,2021-04-10,U643,8851
L361,2020-10-04,U644,4066
L765,2020-10-19,U645,401
L210,2022-01-12,U646,1561
L921,2024-01-03,U647,7567
L796,2020-04-10,U648,7330
L138,2023-12-02,U649,7984
L366,2023-04-29,U650,5669
L386,2023-05-14,U651,299
L855,2021-01-11,U652,9426
L027,2022-03-04,U653,7713
L658,2022-09-05,U654,2445
L322,2021-03-25,U655,547
L763,2022-08-21,U656,2727
L879,2021-05-02,U657,4128
L597,2023-12-10,U658,1485
L170,2021-04-14,U659,3431
L678,2020-07-07,U660,7630
L389,2022-01-12,U661,2070
L769,2021-02-25,U662,1402
L591,2023-06-12,U663,6153
L770,2021-12-02,U664,1994
L466,2021-03-02,U665,3582
L716,2022-02-02,U666,6321
L711,2023-10-12,U667,1768
L906,2022-11-12,U668,6348
L427,2021-10-22,U669,4732
L242,2022-09-14,U670,967
L834,2021-08-16,U671,4316
L046,2024-01-04,U672,803
L256,2023-11-27,U673,6721
L551,2022-11-15,U674,5557
L418,2022-12-01,U675,477
L039,2021-09-21,U676,5082
L413,2023-10-13,U677,3674
L052,2020-02-21,U678,378
L276,2021-07-02,U679,2065
L524,2021-04-01,U680,2793
L618,2020-07-01,U681,3244
L682,2020-12-09,U682,5356
L364,2020-08-03,U683,2456
L334,2023-06-27,U684,9865
L214,2021-06-02,U685,8456
L501,2020-04-09,U686,2534
L350,2021-11-05,U687,8054
L028,2022-10-13,U688,111
L931,2022-07-20,U689,1023
L345,2020-08-12,U690,9518
L160,2023-04-29,U691,3886
L140,2020-08-14,U692,8651
L662,2020-02-28,U693,9008
L343,2023-06-19,U694,2902
L183,2022-06-03,U695,2950
L913,2020-06-16,U696,3788
L549,2023-10-23,U697,3772
L798,2021-11-07,U698,6197
L841,2020-07-14,U699,2916
L488,2020-02-26,U700,1517
L815,2020-04-05,U701,810
L524,2020-05-31,U702,515
L201,2022-10-14,U703,658
L793,2020-12-24,U704,9636
L116,2023-01-05,U705,8672
L664,2023-03-10,U706,5475
L366,2021-08-02,U707,6912
L365,2022-12-24,U708,9901
L794,2023-12-01,U709,5072
L292,2021-06-08,U710,3082
L775,2021-01-07,U711,7305
L903,2021-03-26,U712,4202
L216,2021-07-10,U713,559
L279,2021-08-21,U714,9306
L464,2020-03-12,U715,9537
L866,2021-02-25,U716,9621
L405,2020-08-16,U717,448
L860,2020-04-26,U718,5315
L547,2023-10-17,U719,7726
L001,2021-02-13,U720,325
L381,2023-12-22,U721,9855
L417,2022-05-12,U722,5873
L232,2020-11-11,U723,3320
L875,2024-01-29,U724,4519
L967,2022-12-24,U725,3852
L783,2022-03-09,U726,641
L436,2023-04-02,U727,4899
L541,2022-03-08,U728,6522
L915,2023-06-07,U729,6688
L608,2022-11-03,U730,8853
L616,2022-08-20,U731,7616
L976,2022-11-23,U732,7229
L723,2020-09-15,U733,4930
L348,2020-10-30,U734,6901
L377,2021-02-10,U735,8641
L242,2020-06-19,U736,3183
L339,2021-09-27,U737,9559
L670,2021-09-27,U738,4786
L022,2021-10-22,U739,981
L238,2022-08-26,U740,8122
L263,2022-06-02,U741,2906
L725,2020-08-15,U742,4518
L475,2020-08-27,U743,5282
L970,2021-01-16,U744,791
L912,2022-07-28,U745,5879
L534,2021-06-03,U746,8348
L762,2020-09-13,U747,392
L083,2024-01-11,U748,8556
L685,2022-07-23,U749,4970
L997,2021-12-02,U750,9570
L560,2023-09-13,U751,2045
L890,2023-11-04,U752,6165
L863,2021-02-06,U753,7402
L020,2020-12-13,U754,370
L516,2021-11-25,U755,152
L153,2021-12-01,U756,5460
L448,2020-07-28,U757,6243
L879,2022-12-23,U758,551
L664,2023-04-03,U759,3147
L594,2020-02-16,U760,1805
L166,2022-06-20,U761,1908
L610,2021-02-16,U762,1728
L514,2021-04-21,U763,4694
L099,2020-04-17,U764,4846
L878,2022-09-15,U765,1107
L975,2021-10-21,U766,1350
L795,2022-12-15,U767,8294
L633,2020-12-28,U768,2510
L117,2021-03-30,U769,7771
L126,2023-12-11,U770,5064
L755,2022-06-21,U771,4960
L976,2020-12-03,U772,3045
L796,2022-11-08,U773,8516
L172,2023-01-31,U774,5615
L947,2021-04-09,U775,4381
L140,2021-07-21,U776,1923
L071,2022-05-25,U777,9383
L731,2022-04-04,U778,930
L390,2020-02-17,U779,6406
L995,2021-10-01,U780,500
L599,2021-03-14,U781,2869
L351,2023-08-19,U782,3327
L855,2020-07-21,U783,1997
L392,2022-03-11,U784,9863
L547,2022-11-13,U785,9158
L732,2023-09-03,U786,7322
L169,2022-12-09,U787,5296
L217,2023-05-04,U788,6637
L904,2021-04-08,U789,2122
L593,2024-01-17,U790,6408
L195,2022-09-01,U791,5361
L652,2020-12-03,U792,7952
L678,2022-02-02,U793,403
L320,2022-11-26,U794,954
L653,2023-01-27,U795,9185
L932,2020-12-30,U796,5068
L650,2021-08-14,U797,5463
L320,2022-08-14,U798,349
L153,2023-02-20,U799,3219
L419,2020-12-04,U800,9544
L490,2022-05-18,U801,2112
L124,2022-04-27,U802,291
L411,2023-08-13,U803,3078
L902,2022-12-03,U804,8282
L162,2022-02-19,U805,1193
L796,2024-01-21,U806,665
L059,2021-01-10,U807,9151
L789,2022-10-01,U808,3311
L437,2022-06-25,U809,9199
L249,2021-05-14,U810,6393
L717,2020-02-21,U811,179
L283,2023-04-30,U812,4303
L421,2023-07-08,U813,4392
L358,2020-09-10,U814,736
L351,2020-10-28,U815,6500
L198,2020-07-14,U816,3133
L904,2020-06-10,U817,7480
L402,2020-12-16,U818,6057
L528,2021-03-10,U819,268
L491,2020-06-02,U820,130
L811,2020-04-17,U821,3636
L118,2020-06-20,U822,494
L100,2020-09-06,U823,3587
L527,2021-10-17,U824,6962
L187,2023-04-30,U825,5094
L909,2024-01-03,U826,6437
L035,2020-07-23,U827,5599
L633,2022-03-30,U828,8513
L594,2020-09-22,U829,5465
L749,2021-11-07,U830,9155
L006,2021-06-20,U831,4289
L581,2023-08-16,U832,5582
L538,2020-12-26,U833,3834
L322,2022-11-08,U834,3127
L998,2022-06-10,U835,2191
L529,2022-08-24,U836,5947
L928,2021-08-12,U837,4253
L573,2021-06-20,U838,9716
L984,2020-05-24,U839,7404
L026,2023-09-28,U840,1017
L109,2023-03-16,U841,8597
L668,2023-08-11,U842,843
L531,2024-02-08,U843,2936
L655,2023-09-19,U844,384
L169,2020-09-05,U845,2779
L014,2023-06-02,U846,4676
L657,2023-05-16,U847,7280
L839,2021-01-06,U848,5108
L023,2023-02-02,U849,2107
L100,2021-08-08,U850,4059
L305,2021-11-11,U851,7625
L091,2022-04-10,U852,3562
L899,2020-10-19,U853,8312
L877,2023-07-26,U854,5006
L609,2023-11-07,U855,8963
L028,2022-03-06,U856,404
L918,2021-07-24,U857,2260
L326,2023-01-02,U858,2910
L501,2021-03-05,U859,2979
L832,2022-02-08,U860,6932
L357,2021-11-07,U861,4723
L694,2021-05-01,U862,2782
L107,2022-01-25,U863,4154
L179,2021-05-02,U864,4876
L418,2020-10-26,U865,8401
L246,2021-06-12,U866,730
L481,2022-06-09,U867,7550
L821,2023-02-28,U868,8490
L716,2022-03-07,U869,1505
L202,2022-12-23,U870,3963
L152,2023-02-13,U871,7079
L239,2022-01-10,U872,5675
L120,2022-05-11,U873,1930
L672,2020-11-09,U874,4272
L853,2023-01-25,U875,4919
L950,2020-12-28,U876,3611
L744,2023-09-01,U877,8364
L373,2021-09-04,U878,5556
