calling_line_id,called_line_id,start_time,call_id,duration
L099,L665,2020-09-09,CAL0097,1661
L301,L323,2022-06-19,CAL0098,2400
L230,L492,2019-11-09,CAL0099,2959
L201,L929,2022-02-11,CAL0100,300
L604,L189,2019-02-14,CAL0101,1865
L890,L825,2019-12-14,CAL0102,1451
L871,L193,2019-09-12,CAL0103,795
L397,L383,2019-06-23,CAL0104,2380
L449,L549,2019-07-20,CAL0105,823
L120,L931,2019-08-24,CAL0106,3151
L631,L198,2019-11-01,CAL0107,1136
L319,L040,2020-12-05,CAL0108,348
L514,L535,2022-09-18,CAL0109,465
L619,L730,2019-08-27,CAL0110,2312
L606,L477,2022-01-20,CAL0111,918
L342,L151,2022-07-13,CAL0112,2978
L009,L465,2022-06-16,CAL0113,1765
L817,L881,2019-09-16,CAL0114,1407
L481,L988,2019-07-10,CAL0115,3188
L071,L550,2020-04-28,CAL0116,1680
L018,L217,2020-11-26,CAL0117,2800
L584,L295,2019-08-19,CAL0118,769
L373,L211,2020-08-18,CAL0119,1349
L404,L838,2020-07-06,CAL0120,1327
L589,L476,2020-08-31,CAL0121,2218
L672,L526,2021-05-12,CAL0122,84
L913,L140,2021-05-18,CAL0123,2410
L778,L788,2020-08-27,CAL0124,2624
L511,L356,2019-08-28,CAL0125,830
L311,L647,2022-10-29,CAL0126,1660
L814,L294,2022-12-25,CAL0127,1408
L145,L722,2022-03-28,CAL0128,2936
L674,L757,2023-01-04,CAL0129,1276
L457,L181,2019-10-25,CAL0130,2661
L309,L746,2020-06-30,CAL0131,326
L554,L653,2022-08-19,CAL0132,1044
L316,L594,2020-05-16,CAL0133,1886
L765,L122,2019-04-22,CAL0134,2982
L720,L225,2024-01-31,CAL0135,891
L684,L469,2022-08-08,CAL0136,1541
L762,L885,2022-09-16,CAL0137,2034
L063,L127,2020-07-06,CAL0138,3519
L283,L345,2020-12-23,CAL0139,2607
L448,L012,2023-12-07,CAL0140,112
L169,L769,2022-12-15,CAL0141,855
L314,L632,2019-03-28,CAL0142,191
L377,L793,2019-12-19,CAL0143,3490
L765,L055,2021-10-14,CAL0144,131
L854,L736,2022-01-12,CAL0145,722
L033,L495,2022-10-06,CAL0146,3532
L066,L155,2022-07-26,CAL0147,507
L292,L185,2023-05-01,CAL0148,2394
L154,L346,2022-05-17,CAL0149,649
L125,L496,2019-03-28,CAL0150,2328
L844,L882,2021-01-20,CAL0151,259
L044,L955,2021-08-02,CAL0152,2547
L482,L431,2021-06-01,CAL0153,1296
L084,L975,2021-11-26,CAL0154,2116
L846,L039,2023-12-28,CAL0155,2672
L027,L648,2019-10-31,CAL0156,1115
L456,L856,2020-10-08,CAL0157,1111
L545,L050,2021-12-30,CAL0158,2678
L103,L148,2022-12-28,CAL0159,2911
L177,L664,2021-01-09,CAL0160,3433
L688,L750,2019-10-30,CAL0161,1275
L631,L707,2020-01-22,CAL0162,1056
L521,L496,2020-06-23,CAL0163,927
L834,L087,2019-05-09,CAL0164,1919
L402,L761,2022-06-13,CAL0165,3558
L714,L728,2023-06-25,CAL0166,327
L541,L368,2023-06-22,CAL0167,2543
L391,L451,2022-11-28,CAL0168,1354
L661,L046,2023-04-04,CAL0169,79
L800,L216,2024-01-02,CAL0170,2912
L032,L007,2021-07-05,CAL0171,3296
L909,L202,2021-03-05,CAL0172,854
L247,L257,2020-01-10,CAL0173,3044
L263,L447,2019-03-26,CAL0174,3445
L231,L420,2020-12-28,CAL0175,3047
L530,L996,2021-11-25,CAL0176,1530
L836,L824,2022-12-16,CAL0177,716
L581,L566,2021-06-08,CAL0178,2477
L934,L107,2022-06-21,CAL0179,2143
L215,L587,2023-11-19,CAL0180,3127
L478,L761,2021-05-17,CAL0181,3410
L617,L207,2021-08-02,CAL0182,3397
L004,L350,2021-01-17,CAL0183,1343
L807,L133,2023-03-29,CAL0184,789
L734,L535,2022-02-26,CAL0185,3275
L754,L094,2019-02-26,CAL0186,3398
L409,L733,2021-12-05,CAL0187,2161
L923,L895,2022-10-24,CAL0188,1828
L999,L287,2020-01-15,CAL0189,3580
L110,L444,2021-04-03,CAL0190,3270
L364,L135,2023-03-26,CAL0191,2663
L571,L561,2022-06-07,CAL0192,2838
L125,L553,2023-09-05,CAL0193,2759
L262,L509,2020-09-30,CAL0194,857
L789,L053,2020-02-22,CAL0195,504
L594,L937,2022-12-07,CAL0196,265
L611,L269,2022-02-02,CAL0197,3474
L247,L492,2022-03-21,CAL0198,61
L560,L122,2021-12-17,CAL0199,1325
L684,L408,2023-11-04,CAL0200,2996
L197,L344,2020-07-05,CAL0201,2821
L012,L096,2022-12-29,CAL0202,1781
L866,L260,2020-10-20,CAL0203,3206
L438,L575,2022-08-28,CAL0204,3257
L169,L517,2021-06-23,CAL0205,2711
L021,L209,2021-09-05,CAL0206,1475
L339,L350,2022-03-05,CAL0207,3380
L961,L797,2019-07-11,CAL0208,1763
L524,L812,2021-10-07,CAL0209,2384
L721,L401,2019-07-08,CAL0210,2664
L480,L673,2022-03-19,CAL0211,1364
L318,L476,2023-05-18,CAL0212,2152
L251,L738,2022-02-11,CAL0213,747
L040,L791,2022-04-17,CAL0214,1188
L195,L538,2022-12-21,CAL0215,3369
L674,L740,2021-01-25,CAL0216,164
L469,L397,2021-06-10,CAL0217,3338
L634,L576,2020-03-11,CAL0218,250
L937,L437,2021-06-02,CAL0219,2847
L405,L466,2019-03-29,CAL0220,1903
L569,L824,2022-08-17,CAL0221,977
L641,L879,2021-04-30,CAL0222,3302
L072,L568,2019-12-04,CAL0223,2357
L459,L619,2022-08-31,CAL0224,1803
L767,L364,2019-04-26,CAL0225,2814
L758,L513,2020-01-23,CAL0226,3136
L599,L355,2020-01-24,CAL0227,1939
L349,L195,2020-10-24,CAL0228,1467
L436,L369,2019-09-03,CAL0229,934
L107,L998,2022-10-03,CAL0230,1924
L105,L725,2019-12-31,CAL0231,2578
L823,L329,2020-12-12,CAL0232,273
L037,L166,2021-12-30,CAL0233,995
L546,L905,2023-03-27,CAL0234,1802
L704,L561,2019-05-06,CAL0235,1518
L964,L830,2020-11-06,CAL0236,2215
L717,L289,2019-05-06,CAL0237,2695
L284,L504,2020-02-10,CAL0238,3544
L979,L430,2021-07-02,CAL0239,106
L838,L975,2023-02-09,CAL0240,3362
L829,L143,2019-10-29,CAL0241,2051
L611,L792,2020-03-27,CAL0242,1146
L096,L041,2020-09-25,CAL0243,3286
L583,L963,2024-01-23,CAL0244,1320
L946,L260,2021-08-05,CAL0245,1026
L356,L775,2020-04-03,CAL0246,318
L640,L133,2022-12-06,CAL0247,1526
L512,L748,2022-05-15,CAL0248,179
L215,L487,2020-11-29,CAL0249,924
L588,L976,2019-10-15,CAL0250,2128
L876,L556,2023-07-12,CAL0251,2676
L327,L176,2020-04-22,CAL0252,2649
L821,L545,2020-10-16,CAL0253,2806
L941,L410,2020-12-31,CAL0254,2490
L827,L282,2020-09-26,CAL0255,1924
L115,L007,2022-12-05,CAL0256,2397
L272,L197,2019-05-29,CAL0257,3136
L509,L655,2022-07-13,CAL0258,1151
L117,L432,2020-01-03,CAL0259,2241
L409,L958,2020-09-15,CAL0260,697
L344,L805,2023-04-26,CAL0261,55
L018,L802,2019-12-16,CAL0262,3031
L018,L916,2021-07-05,CAL0263,1520
L410,L686,2022-10-11,CAL0264,1531
L093,L639,2020-08-11,CAL0265,3427
L052,L120,2019-08-03,CAL0266,2582
L497,L374,2022-12-21,CAL0267,3321
L734,L641,2022-03-14,CAL0268,3377
L489,L090,2022-01-16,CAL0269,665
L101,L691,2019-06-25,CAL0270,1501
L953,L795,2023-11-12,CAL0271,1374
L343,L564,2023-07-06,CAL0272,1731
L437,L343,2021-04-08,CAL0273,763
L196,L793,2022-01-11,CAL0274,3294
L905,L951,2023-04-08,CAL0275,936
L265,L108,2023-11-25,CAL0276,804
L799,L057,2019-04-16,CAL0277,301
L309,L789,2021-05-23,CAL0278,3053
L870,L684,2021-12-13,CAL0279,1233
L417,L342,2020-06-08,CAL0280,61
L229,L283,2019-03-01,CAL0281,711
L668,L986,2021-11-13,CAL0282,516
L712,L101,2023-12-21,CAL0283,1119
L781,L184,2019-11-23,CAL0284,1050
L972,L082,2021-05-16,CAL0285,3063
L755,L954,2021-03-25,CAL0286,678
L886,L970,2019-05-12,CAL0287,278
L064,L763,2022-03-21,CAL0288,2490
L434,L009,2023-05-30,CAL0289,826
L109,L970,2020-06-26,CAL0290,3085
L436,L432,2022-07-22,CAL0291,1086
L856,L791,2023-11-06,CAL0292,3149
L150,L095,2020-11-07,CAL0293,1742
L366,L713,2022-04-04,CAL0294,1108
L527,L355,2023-03-28,CAL0295,2768
L324,L434,2023-05-29,CAL0296,3330
L276,L392,2023-02-07,CAL0297,240
L275,L422,2021-02-19,CAL0298,3464
L682,L041,2020-05-28,CAL0299,1960
L281,L464,2019-09-30,CAL0300,413
L629,L329,2020-02-03,CAL0301,1158
L799,L973,2020-02-23,CAL0302,501
L961,L177,2021-11-15,CAL0303,617
L169,L467,2021-12-13,CAL0304,1633
L170,L016,2022-10-30,CAL0305,2745
L009,L377,2021-07-08,CAL0306,1175
L753,L169,2019-05-09,CAL0307,1868
L198,L496,2019-06-11,CAL0308,629
L631,L520,2023-09-27,CAL0309,940
L435,L454,2019-03-12,CAL0310,2555
L685,L893,2022-12-19,CAL0311,3165
L886,L940,2020-10-20,CAL0312,2157
L509,L290,2021-08-27,CAL0313,3416
L621,L255,2021-08-23,CAL0314,1279
L675,L129,2022-01-31,CAL0315,755
L223,L126,2022-08-29,CAL0316,2889
L267,L695,2020-07-27,CAL0317,2112
L411,L473,2019-09-30,CAL0318,3228
L612,L913,2019-04-18,CAL0319,79
L040,L679,2019-10-12,CAL0320,1521
L170,L637,2023-12-29,CAL0321,1307
L670,L704,2020-09-13,CAL0322,2269
L708,L477,2021-06-20,CAL0323,1656
L241,L741,2023-05-19,CAL0324,1469
L873,L178,2022-12-18,CAL0325,166
L447,L277,2021-04-26,CAL0326,718
L383,L679,2020-12-14,CAL0327,3115
L673,L483,2021-01-31,CAL0328,1320
L560,L012,2023-10-04,CAL0329,2116
L823,L735,2021-11-20,CAL0330,2944
L054,L683,2019-12-20,CAL0331,3422
L694,L568,2019-05-17,CAL0332,1252
L207,L046,2019-05-17,CAL0333,365
L001,L206,2020-09-04,CAL0334,824
L691,L164,2022-02-05,CAL0335,959
L987,L647,2021-09-24,CAL0336,3488
L687,L001,2022-04-30,CAL0337,1728
L720,L015,2021-07-29,CAL0338,2540
L479,L017,2023-06-19,CAL0339,1395
L352,L096,2022-12-08,CAL0340,3170
L639,L129,2022-05-09,CAL0341,2924
L280,L907,2022-07-03,CAL0342,1787
L919,L923,2023-09-26,CAL0343,1987
L742,L580,2020-08-19,CAL0344,237
L282,L630,2022-07-01,CAL0345,2234
L316,L284,2021-08-01,CAL0346,2086
L071,L765,2022-03-05,CAL0347,3092
L038,L354,2021-05-16,CAL0348,3286
L646,L466,2020-08-30,CAL0349,757
L770,L570,2021-01-30,CAL0350,3188
L612,L840,2022-02-13,CAL0351,420
L555,L600,2019-03-23,CAL0352,1276
L279,L168,2021-05-19,CAL0353,3155
L968,L950,2021-02-05,CAL0354,464
L446,L956,2023-09-23,CAL0355,858
L152,L555,2021-10-23,CAL0356,3370
L454,L664,2022-02-09,CAL0357,3126
L405,L422,2020-02-26,CAL0358,678
L547,L695,2020-03-05,CAL0359,605
L482,L632,2019-12-14,CAL0360,2978
L424,L133,2020-03-19,CAL0361,3222
L685,L741,2022-08-31,CAL0362,1730
L727,L056,2019-10-16,CAL0363,3019
L973,L768,2020-09-10,CAL0364,2848
L075,L809,2021-11-15,CAL0365,1622
L687,L880,2020-01-04,CAL0366,760
L546,L828,2019-07-30,CAL0367,2810
L575,L390,2020-08-19,CAL0368,2442
L767,L852,2023-10-02,CAL0369,3320
L839,L685,2021-02-18,CAL0370,1519
L863,L850,2023-11-24,CAL0371,656
L265,L048,2020-09-16,CAL0372,3363
L797,L904,2023-09-21,CAL0373,1750
L934,L868,2019-11-28,CAL0374,1213
L730,L150,2021-10-15,CAL0375,2989
L052,L227,2022-03-04,CAL0376,2930
L914,L073,2022-07-03,CAL0377,733
L818,L448,2020-02-26,CAL0378,435
L091,L668,2020-07-06,CAL0379,3229
L537,L787,2019-11-16,CAL0380,465
L405,L912,2019-03-25,CAL0381,446
L913,L575,2023-08-09,CAL0382,3441
L104,L182,2023-05-15,CAL0383,61
L299,L138,2022-09-26,CAL0384,2521
L866,L565,2022-12-31,CAL0385,319
L123,L312,2019-04-22,CAL0386,2804
L201,L509,2021-03-14,CAL0387,2488
L093,L036,2023-08-30,CAL0388,3482
L824,L919,2023-12-31,CAL0389,3278
L639,L792,2019-09-17,CAL0390,1470
L062,L147,2022-08-26,CAL0391,1210
L772,L227,2020-02-23,CAL0392,2007
L372,L613,2020-10-01,CAL0393,1196
L548,L625,2021-10-07,CAL0394,417
L624,L260,2019-12-14,CAL0395,1866
L753,L891,2020-01-19,CAL0396,3595
L026,L612,2021-12-12,CAL0397,1607
L854,L615,2023-04-03,CAL0398,3454
L751,L690,2020-04-27,CAL0399,3193
L068,L429,2022-12-22,CAL0400,1342
L165,L264,2023-10-17,CAL0401,1918
L346,L008,2024-01-05,CAL0402,1780
L249,L148,2021-05-31,CAL0403,2339
L597,L019,2021-01-27,CAL0404,993
L600,L819,2022-11-04,CAL0405,1637
L799,L286,2021-11-16,CAL0406,1963
L729,L801,2019-07-10,CAL0407,1646
L032,L555,2021-08-11,CAL0408,3486
L452,L405,2023-10-17,CAL0409,1699
L717,L782,2023-07-04,CAL0410,864
L569,L506,2023-01-24,CAL0411,2641
L609,L587,2020-08-20,CAL0412,2991
L678,L879,2021-04-25,CAL0413,2342
L595,L048,2020-06-26,CAL0414,1817
L218,L050,2023-09-13,CAL0415,966
L261,L997,2021-01-21,CAL0416,2851
L342,L592,2021-06-05,CAL0417,2130
L186,L801,2019-10-05,CAL0418,1754
L813,L129,2022-10-04,CAL0419,2403
L260,L302,2023-10-04,CAL0420,3516
L661,L034,2020-07-16,CAL0421,3293
L623,L661,2019-09-20,CAL0422,2326
L269,L362,2022-11-06,CAL0423,705
L212,L617,2022-06-27,CAL0424,688
L353,L901,2021-03-07,CAL0425,931
L565,L201,2020-05-23,CAL0426,1630
L973,L900,2019-11-21,CAL0427,1265
L728,L060,2020-07-19,CAL0428,2934
L790,L934,2022-06-19,CAL0429,3192
L376,L641,2022-03-08,CAL0430,101
L975,L425,2022-04-25,CAL0431,2653
L167,L389,2021-10-24,CAL0432,1951
L179,L377,2021-12-20,CAL0433,2184
L911,L940,2021-10-30,CAL0434,3508
L851,L004,2021-05-06,CAL0435,3520
L934,L777,2019-11-07,CAL0436,3592
L538,L915,2019-02-15,CAL0437,1802
L496,L438,2022-08-30,CAL0438,893
L529,L709,2023-08-12,CAL0439,2292
L830,L240,2021-12-24,CAL0440,3579
L206,L949,2021-10-13,CAL0441,644
L463,L731,2023-09-28,CAL0442,2386
L215,L768,2021-10-12,CAL0443,2739
L264,L080,2021-04-29,CAL0444,3003
L225,L246,2020-12-27,CAL0445,1845
L607,L926,2019-05-08,CAL0446,1817
L016,L934,2024-01-05,CAL0447,381
L888,L626,2021-07-12,CAL0448,1314
L546,L204,2022-06-12,CAL0449,1719
L223,L154,2021-12-21,CAL0450,548
L762,L470,2022-09-15,CAL0451,1219
L410,L115,2021-12-04,CAL0452,1629
L262,L805,2024-01-26,CAL0453,2865
L606,L430,2024-02-09,CAL0454,1474
L456,L005,2021-12-29,CAL0455,272
L664,L620,2020-02-18,CAL0456,2308
L115,L943,2021-08-18,CAL0457,691
L478,L603,2022-03-17,CAL0458,3140
L253,L461,2020-04-25,CAL0459,517
L744,L810,2019-08-12,CAL0460,494
L696,L761,2021-04-18,CAL0461,2901
L889,L884,2019-09-17,CAL0462,727
L828,L454,2022-04-25,CAL0463,1433
L369,L745,2021-11-02,CAL0464,2861
L377,L843,2021-11-21,CAL0465,2883
L194,L399,2019-05-23,CAL0466,1216
L651,L291,2021-05-14,CAL0467,2531
L200,L237,2019-11-23,CAL0468,254
L361,L010,2023-07-15,CAL0469,268
L399,L305,2021-12-10,CAL0470,2795
L384,L020,2022-09-02,CAL0471,791
L403,L698,2023-10-20,CAL0472,1723
L404,L632,2021-01-22,CAL0473,3051
L160,L294,2022-10-26,CAL0474,2843
L106,L208,2022-04-08,CAL0475,3378
L266,L945,2023-10-17,CAL0476,1911
L787,L709,2023-10-04,CAL0477,3442
L839,L272,2020-03-15,CAL0478,779
L988,L880,2020-07-28,CAL0479,2710
L104,L112,2019-09-29,CAL0480,1223
L426,L054,2020-02-09,CAL0481,2681
L266,L655,2019-10-11,CAL0482,2072
L812,L829,2022-05-17,CAL0483,581
L799,L335,2021-10-08,CAL0484,1198
L726,L384,2024-01-17,CAL0485,1511
L891,L655,2022-10-02,CAL0486,442
L076,L985,2020-01-30,CAL0487,1545
L470,L509,2022-06-19,CAL0488,284
L196,L068,2019-03-29,CAL0489,2077
L081,L011,2023-09-20,CAL0490,3589
L366,L521,2023-11-15,CAL0491,2011
L005,L166,2019-10-06,CAL0492,2027
L316,L089,2021-02-04,CAL0493,2664
L126,L129,2020-04-27,CAL0494,1375
L415,L616,2021-05-31,CAL0495,2799
L742,L914,2023-11-08,CAL0496,2827
L740,L548,2023-07-13,CAL0497,426
L693,L537,2024-01-27,CAL0498,1092
L817,L307,2020-09-15,CAL0499,3439
L853,L465,2021-05-13,CAL0500,2253
L476,L994,2019-03-09,CAL0501,622
L061,L177,2024-02-01,CAL0502,2799
L957,L586,2019-06-02,CAL0503,1728
L607,L962,2020-09-30,CAL0504,1467
L567,L353,2020-07-26,CAL0505,3111
L475,L172,2019-08-20,CAL0506,1294
L892,L091,2020-12-23,CAL0507,59
L286,L174,2019-10-15,CAL0508,2954
L498,L885,2021-05-12,CAL0509,1526
L457,L003,2022-02-06,CAL0510,1678
L025,L224,2021-02-24,CAL0511,3085
L375,L546,2021-04-06,CAL0512,206
L185,L368,2021-08-21,CAL0513,1971
L564,L698,2021-04-10,CAL0514,2672
L490,L067,2021-02-03,CAL0515,963
L292,L471,2022-03-29,CAL0516,1816
L782,L280,2020-04-13,CAL0517,644
L534,L241,2020-03-29,CAL0518,254
L203,L141,2020-10-22,CAL0519,3516
L921,L491,2023-12-06,CAL0520,66
L590,L606,2023-05-15,CAL0521,353
L083,L362,2023-09-20,CAL0522,1096
L369,L016,2021-06-30,CAL0523,3565
L412,L113,2022-06-03,CAL0524,925
L525,L898,2022-08-03,CAL0525,112
L115,L681,2021-03-05,CAL0526,1346
L272,L378,2020-12-28,CAL0527,2696
L344,L823,2022-09-02,CAL0528,2388
L167,L866,2021-09-15,CAL0529,1136
L861,L634,2019-04-01,CAL0530,776
L999,L461,2021-02-09,CAL0531,1796
L028,L048,2020-03-27,CAL0532,2617
L536,L841,2019-10-11,CAL0533,2289
L411,L911,2022-05-20,CAL0534,3330
L154,L024,2019-02-21,CAL0535,2119
L041,L680,2023-01-09,CAL0536,3138
L714,L626,2020-11-06,CAL0537,866
L701,L810,2019-07-01,CAL0538,2376
L744,L502,2020-05-05,CAL0539,3024
L316,L807,2021-05-23,CAL0540,1799
L961,L277,2020-04-24,CAL0541,2354
L970,L858,2022-10-16,CAL0542,862
L073,L516,2020-12-09,CAL0543,2491
L361,L315,2021-07-15,CAL0544,1539
L920,L459,2024-01-23,CAL0545,580
L138,L832,2021-04-17,CAL0546,3198
L349,L854,2019-12-02,CAL0547,1944
L640,L735,2024-01-09,CAL0548,3291
L329,L909,2020-04-30,CAL0549,1133
L182,L986,2021-11-26,CAL0550,2927
L264,L200,2022-08-17,CAL0551,3474
L009,L746,2022-04-15,CAL0552,937
L548,L316,2020-09-02,CAL0553,1275
L406,L471,2019-06-21,CAL0554,1464
L499,L447,2020-02-10,CAL0555,161
L391,L832,2023-10-31,CAL0556,2451
L343,L113,2019-07-17,CAL0557,688
L306,L664,2023-04-10,CAL0558,2360
L696,L757,2019-05-07,CAL0559,470
L059,L785,2020-10-16,CAL0560,1557
L490,L516,2022-11-23,CAL0561,1959
L928,L482,2020-12-28,CAL0562,2237
L545,L897,2021-12-13,CAL0563,3041
L958,L231,2020-09-05,CAL0564,2949
L060,L500,2021-04-14,CAL0565,2383
L167,L565,2021-02-26,CAL0566,3207
L408,L986,2021-03-25,CAL0567,1896
L094,L323,2023-10-04,CAL0568,3548
L488,L921,2022-07-27,CAL0569,2309
L034,L852,2020-06-30,CAL0570,3073
L867,L949,2020-04-10,CAL0571,408
L166,L828,2022-07-02,CAL0572,2799
L945,L293,2019-03-23,CAL0573,2381
L259,L931,2020-06-07,CAL0574,2818
L007,L242,2019-09-28,CAL0575,1135
L053,L689,2019-03-02,CAL0576,1460
L373,L132,2021-06-16,CAL0577,439
L877,L049,2022-01-29,CAL0578,1634
L902,L933,2021-12-23,CAL0579,486
L173,L101,2021-01-27,CAL0580,1301
L154,L545,2023-12-14,CAL0581,1708
L862,L144,2021-06-13,CAL0582,2628
L259,L094,2019-11-06,CAL0583,3454
L180,L307,2019-08-23,CAL0584,3164
L279,L078,2019-09-03,CAL0585,2440
L561,L932,2021-03-29,CAL0586,1076
L524,L841,2023-03-04,CAL0587,3404
L762,L592,2022-07-17,CAL0588,3285
L610,L990,2019-09-16,CAL0589,298
L075,L846,2023-07-08,CAL0590,697
L096,L772,2020-05-12,CAL0591,44
L120,L950,2022-05-20,CAL0592,1592
L550,L036,2023-07-03,CAL0593,318
L464,L996,2022-12-17,CAL0594,2358
L733,L293,2019-10-29,CAL0595,3127
L194,L456,2021-04-29,CAL0596,2571
L255,L015,2019-08-15,CAL0597,1866
L506,L013,2019-05-24,CAL0598,360
L479,L036,2022-06-23,CAL0599,3156
L987,L474,2020-05-20,CAL0600,407
L801,L620,2021-01-09,CAL0601,3105
L203,L147,2019-11-15,CAL0602,1133
L870,L376,2023-11-23,CAL0603,1487
L647,L922,2023-01-04,CAL0604,1933
L162,L714,2021-12-19,CAL0605,1927
L498,L105,2020-12-05,CAL0606,1372
L900,L851,2019-11-25,CAL0607,2637
L414,L016,2020-11-11,CAL0608,1595
L320,L856,2021-03-30,CAL0609,2850
L582,L638,2021-04-25,CAL0610,920
L939,L180,2023-06-12,CAL0611,1372
L795,L008,2024-02-08,CAL0612,1353
L221,L884,2023-09-04,CAL0613,1573
L920,L623,2023-11-03,CAL0614,386
L569,L318,2023-09-08,CAL0615,3352
L182,L164,2022-06-16,CAL0616,3498
L147,L856,2020-08-15,CAL0617,1012
L751,L071,2021-11-14,CAL0618,2855
L722,L935,2022-06-21,CAL0619,994
L731,L539,2023-07-24,CAL0620,1424
L865,L908,2019-03-08,CAL0621,682
L871,L406,2022-04-29,CAL0622,1254
L664,L627,2020-04-20,CAL0623,1843
L736,L874,2019-07-03,CAL0624,2530
L389,L266,2022-03-15,CAL0625,1364
L119,L163,2022-03-11,CAL0626,2532
L923,L503,2023-12-03,CAL0627,2565
L258,L605,2020-03-01,CAL0628,2539
L840,L421,2021-12-10,CAL0629,2974
L512,L600,2023-11-06,CAL0630,3269
L231,L576,2023-07-10,CAL0631,2835
L879,L800,2023-02-09,CAL0632,429
L901,L559,2020-09-01,CAL0633,859
L514,L211,2020-05-06,CAL0634,1464
L968,L031,2021-11-09,CAL0635,3248
L980,L081,2023-12-26,CAL0636,1941
L496,L295,2023-05-26,CAL0637,2713
L275,L710,2022-05-06,CAL0638,3463
L851,L610,2019-03-11,CAL0639,2817
L027,L915,2021-12-16,CAL0640,1678
L592,L370,2022-11-29,CAL0641,2508
