property_id,type,address,city,state,zip_code,bedrooms,bathrooms,square_footage,year_built,price
P028,Residential,"4643 Victor Harbors
Port Andrew, PA 96774",Obrienborough,HI,49664,2,2,659,2016,1932683
P029,Residential,"840 Griffin Throughway
Morenoland, MS 56264",Williamland,PA,95324,4,3,3756,2003,72197582
P030,Residential,"1242 Richardson Brook
New Davidchester, NE 19971",South Pennyfurt,MP,11728,5,2,3777,2014,1064347
P031,Commercial,"50369 Francisco Island Suite 524
West Paige, AK 21319",North Michael,WA,50546,4,3,4244,1980,76653406
P032,Residential,"80352 Sandoval Islands
Lake Wendy, AK 74823",Port Jacobberg,PA,98286,1,2,2283,2022,30566867
P033,Commercial,"35208 Rose Haven
Micheleview, IA 85205",Deanmouth,OH,66532,3,1,2523,1966,23776301
P034,Residential,"1381 Jacob Wells Suite 426
Stevenmouth, AZ 15928",Lake Nicholas,PW,73346,5,2,544,1986,36121895
P035,Residential,"838 Castillo Flat
South Scottland, FM 96405",New Amanda,SC,79441,3,3,2879,2017,78734592
P036,Commercial,"620 David Club
South Helen, GA 73844",South Melissatown,ND,31676,4,1,836,1996,75730720
P037,Commercial,"9802 Joseph Roads Suite 128
Hansonfurt, ND 10103",Port Benjaminshire,UT,86530,3,2,2391,2022,28603279
P038,Residential,"8032 Bell Tunnel
Marybury, NY 80478",South Peggy,MH,15326,1,3,2670,1978,96544801
P039,Commercial,"384 Melissa Isle Apt. 456
South Linda, LA 53844",North Michelle,VI,35305,5,3,4362,2016,7921437
P040,Commercial,"544 Collins Run
West Davidburgh, DE 19245",New Anthonymouth,IL,61646,2,3,4089,2022,94401855
P041,Residential,"5591 Allen Ridges
North Patricia, KS 76184",South Williammouth,IN,35475,3,2,4473,1973,80753680
P042,Commercial,"3733 Villa Gardens Suite 999
Taylorland, NJ 66160",Turnerside,IN,45393,3,1,991,1951,19050325
P043,Residential,"8821 Shelley Tunnel
South Laurenville, AZ 17199",Morrisport,WA,78369,4,3,1160,1970,73160974
P044,Commercial,"138 Michelle Corners Apt. 979
Gibsonmouth, MI 78967",North Katherinestad,GU,76258,2,3,3908,1966,93566739
P045,Commercial,"Unit 3092 Box 0265
DPO AP 56178",Whiteton,IN,68590,2,1,3225,2014,52258599
P046,Residential,"54617 Walker Hills
North Cheryl, CT 52603",West Gina,NY,76256,5,3,3287,1962,69407466
P047,Commercial,"985 Gonzalez Fields
East Joshualand, LA 20541",Alexanderport,KS,37198,2,2,3723,1985,40240982
P048,Residential,"517 Emily Fords Apt. 996
Cindyfort, GU 58310",Campbellfurt,MA,79019,1,3,1098,1978,3391557
P049,Residential,"2725 Hunt Mountain Suite 087
West Peter, AS 40588",Johnsonmouth,GA,83468,1,3,1425,1977,56884586
P050,Residential,"4800 Michelle Spurs
Ryanborough, NE 06874",Thomasview,MH,54550,4,3,1710,1993,45850731
P051,Commercial,"PSC 5813, Box 3543
APO AA 33511",East Nicolasberg,MD,63341,5,1,3639,2006,4019766
P052,Residential,"6303 Montoya Meadow Suite 529
North Katherineville, AZ 50104",Tammyland,ME,78093,5,2,2929,2018,65525673
P053,Commercial,"USNV Smith
FPO AA 03525",Gomezfurt,KS,42995,3,3,2055,2018,58142036
P054,Residential,"434 Katherine Landing Apt. 340
Manningside, SD 70244",Thomasville,AL,79848,5,1,3301,2021,73616965
P055,Residential,"5842 Jacob Garden Suite 009
Lopezmouth, OH 93818",Port Luisborough,GA,35315,1,3,2576,2011,98385699
P056,Commercial,"0003 Gregory Circle Apt. 447
Davismouth, ME 35164",Samanthaville,NE,79407,1,3,1466,1992,4587741
P057,Commercial,"102 Mcbride Fields
Mariaburgh, FL 80508",East Brandichester,DC,44565,1,2,4314,1992,75062309
P058,Commercial,"816 Randy Isle Apt. 425
Port Candice, MT 32461",Justinfort,FM,16126,1,2,2447,1958,2373721
P059,Commercial,"678 Ashley Pike Apt. 775
East Curtishaven, MH 12870",West Michealchester,MS,53850,4,3,2612,2006,70730890
P060,Residential,"00289 Blake Oval Apt. 606
North Gerald, KY 56655",Brendaview,UT,70247,1,2,2766,2004,23525412
P061,Commercial,"141 Price Walk Suite 040
East Kathleenhaven, HI 52688",West Lindsay,SC,51066,4,1,3582,1998,30819819
P062,Residential,"5038 Daniel Parks Apt. 534
Roberthaven, ID 84651",Wrightmouth,OK,10750,1,2,2101,1983,20728808
P063,Commercial,"06492 Christina Harbors Suite 723
Davidberg, VT 23960",West Bradley,MS,31228,3,3,1978,1952,30229024
P064,Commercial,"86691 Carroll Stream Apt. 550
Port Patriciaberg, WI 18228",Flemingfort,ME,51040,5,1,1174,1955,98518962
P065,Residential,"2203 Salazar Lock Apt. 157
East Madelinebury, MH 96903",Lake Jeanette,NH,21331,2,2,4770,1975,89351791
P066,Commercial,"703 Monica Street Suite 098
Scotthaven, IL 13677",Frankchester,ND,43236,5,2,3355,2021,8050369
P067,Residential,"PSC 2219, Box 8397
APO AP 54137",Lindamouth,MO,40532,5,2,4882,1992,47907696
P068,Residential,"626 Martinez Drive
Ramirezland, VI 43018",Kristinburgh,UT,63135,1,3,588,1961,14960459
P069,Residential,"79622 Bailey Mews Apt. 434
Hughesport, NE 51855",North Scottfort,CT,70099,2,2,4237,1974,36887607
P070,Residential,"00556 Cynthia Valleys
Pachecofurt, VT 61498",Mayburgh,OK,21282,1,3,4704,1983,38797772
P071,Residential,"90911 Perez Lakes Suite 286
Robertberg, SD 26573",West Christopherfort,MI,84743,2,2,4276,1968,35081315
P072,Residential,"1567 Sheila Square Apt. 715
New Susan, DC 13852",Williamsonborough,WA,44534,1,2,4929,1956,70138968
P073,Commercial,"73505 Elliott Fords
Michaelstad, NC 40107",Davidland,AS,75083,2,2,1703,2015,36521467
P074,Commercial,"54117 Jessica Drive Suite 992
Castilloberg, SD 55256",Leemouth,CO,27188,4,2,4602,2022,42795041
P075,Residential,"6497 Tammy Oval
Baileyfurt, AS 06447",Port Lindaborough,CT,26220,1,3,4459,1959,17681603
P076,Commercial,"70289 Moyer Islands
South Chloe, FM 02164",Patriciaton,WV,83247,4,1,3027,2017,82509071
P077,Residential,"7385 Thomas Camp
Zavalamouth, AS 19456",Adamsborough,NM,60077,5,3,1034,1991,78780021
P078,Commercial,"8401 Williams Meadow
Nicholsfort, MD 40882",New Jenniferland,MN,11605,4,2,4580,1991,29888417
P079,Commercial,"8083 White Dale
North Jennifer, OR 58916",New Jeanne,VA,12784,4,1,2757,2007,17104347
P080,Residential,"PSC 7119, Box 0795
APO AP 46999",Lake Josefurt,MH,78600,2,2,3494,1974,59609490
P081,Residential,"705 Eric Trail
Ellishaven, VA 01329",North Emily,UT,29153,2,3,2890,2014,18917350
P082,Commercial,"103 Lamb Flat
Haileyberg, TX 52019",Georgefurt,AS,76359,4,2,1673,1951,71542703
P083,Commercial,"8124 Morris Groves
Port Robert, NE 34203",South Cherylmouth,MN,30203,3,2,1329,1959,51680516
P084,Residential,"16201 Bates Oval Suite 092
Ellisborough, ND 76501",Sharonport,VI,85631,3,3,836,1955,91209546
P085,Residential,"57601 Erin Path Apt. 932
North Mark, TN 52280",Sarahborough,OR,86266,3,2,626,1971,83863342
P086,Commercial,"Unit 7491 Box 2786
DPO AP 80723",Port Sarah,SC,33091,2,2,4724,1977,88818030
P087,Commercial,"4879 Gloria Forks Suite 906
Lake Kristyhaven, HI 80727",Jessicafurt,AK,70898,1,3,805,1972,55249242
P088,Commercial,"109 Kathy Isle Suite 737
Craigview, MN 40611",Tanyabury,NM,71015,2,3,1473,2021,76827792
P089,Commercial,"159 Lopez Locks Apt. 814
Henryberg, NE 46727",Brittanyview,NY,37324,2,2,3976,1999,29610944
P090,Commercial,"8294 Boyle Pines
New Jamesberg, AK 86591",Simsmouth,TN,35649,1,2,1732,2019,58100337
P091,Commercial,"661 Stewart Port
West Jaimefort, NM 73490",Bowenmouth,SD,93079,1,2,4138,2019,7203785
P092,Residential,"PSC 7239, Box 0092
APO AA 38842",Williambury,MI,80440,3,3,4812,2000,39927132
P093,Residential,"52982 Moore Lake Apt. 610
Nelsonstad, VT 82793",Schmidtburgh,FL,95428,2,1,2427,1999,17554887
P094,Residential,"7161 Janice Springs
Alyssafurt, VI 91501",Port Marcus,GU,69928,5,2,3494,1987,65979345
P095,Commercial,"461 Matthew Mission
South Jennifer, WY 22649",Lake Briannatown,NJ,45419,4,2,2059,1959,81975160
P096,Residential,"41867 Jillian Forge Apt. 384
New Justinport, WI 43597",Lake Danielport,TN,79849,4,3,4907,2015,94861892
P097,Commercial,"7994 Brown Ramp Apt. 856
West James, AR 01665",East Heidi,RI,32761,2,1,1470,1979,74180909
P098,Residential,"USS Keller
FPO AP 94558",Kimview,NV,28166,1,1,1025,1982,33325125
P099,Commercial,"02680 Porter Gardens
West Melissachester, LA 05826",Port Angelaview,DE,10459,2,2,3020,2015,61876976
P100,Commercial,"74063 Sanchez Park
North Ashleyborough, GU 14285",Millershire,MN,36357,1,3,1678,2016,6298774
P101,Commercial,"8418 Rhonda Tunnel Suite 795
West Dustinfort, NH 54807",Port Zachary,AS,36441,3,1,4205,1977,33530238
P102,Residential,"30813 Laura Creek Apt. 093
West Jefferyland, WY 81969",North Trevor,OR,36459,3,3,4302,1951,66032416
P103,Commercial,"022 West Islands Suite 838
North Samantha, DC 54333",New Erichaven,IL,73647,5,1,3869,1982,97408287
P104,Commercial,"03334 Martinez Ridge Suite 265
Port Randyshire, MT 41525",Port Kaitlyn,LA,69970,3,1,4079,1996,99074330
P105,Commercial,"8738 Gutierrez Extensions Suite 618
Deniseville, FM 87078",Robbinston,AZ,66482,2,3,4677,1968,1561939
P106,Residential,"48799 Lisa Point Apt. 168
Garciamouth, TN 76665",East Sarahaven,NC,78469,3,3,3823,1969,11122862
P107,Residential,"11241 Jason Loaf Suite 313
Thomasborough, PA 13465",East Victorton,MN,52265,1,3,2758,2002,28088675
P108,Residential,"6436 John Mountains
Jonesstad, MD 81110",New Tina,WY,16027,3,2,3194,1986,53440042
P109,Commercial,"409 Hicks Springs
Taramouth, MN 91169",Millermouth,FL,62379,3,2,3669,2010,94655191
P110,Commercial,"37090 Yates Garden
Williamsonfurt, HI 06378",North Joshua,KY,44062,1,1,2277,1982,60911505
P111,Commercial,"06198 Hendricks Valley Suite 206
Colemanstad, TX 63464",West David,MA,68121,2,1,3384,1994,87873721
P112,Commercial,"PSC 6360, Box 0882
APO AP 52880",Valenzuelabury,AK,73192,1,1,937,1973,7974264
P113,Residential,"201 Jeffery Island
East Johnnyport, OR 64135",Lake Leestad,FL,98135,3,3,1258,1963,70813971
P114,Residential,"83315 Carlos Pines
Jonesborough, SC 22164",Douglasfurt,MP,66164,5,1,3626,2006,48609045
P115,Residential,"32715 Melissa Trail Apt. 996
Amandabury, MO 66623",Smithton,DE,29697,5,1,3412,1978,1074487
P116,Commercial,"64020 Sullivan Mission Suite 157
East Thomasberg, SD 15415",Dawnville,NV,28522,4,3,1002,1979,3758045
P117,Residential,"95513 Campbell Haven
North Crystalfort, FM 70054",Port Christytown,MT,52068,1,2,1965,2007,93305084
P118,Commercial,"502 April Landing
West Angie, AS 79654",Clarkmouth,PA,12405,5,2,739,1978,26098505
P119,Commercial,"70092 Elizabeth Plains
Lake Christopherport, MA 14858",Charlesland,MO,81657,2,3,1951,2015,79109188
P120,Residential,"USNV Lutz
FPO AA 88256",Hensonshire,VA,32868,2,2,2586,2015,25849188
P121,Residential,"315 Kirk Walk
Brownside, HI 58357",Davisfort,MS,46844,1,3,4880,1996,87881077
P122,Commercial,"582 Willis Land
West Timothy, ND 43476",Port Coryfort,SC,22091,2,1,2439,1974,93388106
P123,Residential,"864 Andrea Motorway
Lake Erinview, MI 84754",Stevenhaven,IN,37805,1,1,2407,1964,48579568
P124,Residential,"463 Ramirez Crossroad
West Debra, FM 66757",Oconnorview,MO,46999,1,1,2020,1999,53487232
P125,Residential,"03550 Hoffman Flats
Flynnburgh, IN 33933",Jamesshire,RI,84645,1,2,4055,1980,31043749
P126,Commercial,"81660 Katherine Light Suite 852
Port Sandra, MP 79016",Guerrerofort,IN,81793,3,2,4143,1985,20728149
P127,Commercial,"87753 Reynolds Field Apt. 651
Port Patrickstad, MI 90347",East Judyhaven,LA,84212,5,3,1655,1968,4451562
P128,Residential,"514 Calhoun Squares
Jacksonmouth, AL 75783",East Jennifer,ID,89794,4,2,3086,2003,61919262
P129,Residential,"5881 Patterson Forge
Hopkinsview, DE 26888",West Ericamouth,VT,77996,5,2,1757,2006,25457145
P130,Commercial,"PSC 7081, Box 0539
APO AA 04473",Lutzbury,MH,63490,4,1,4715,1980,87035114
P131,Commercial,"62363 Edward Station Suite 197
Deanland, MT 70505",New Angelaport,DE,41921,5,1,1484,1988,41612323
P132,Commercial,"8451 Kenneth Path
East George, CA 25341",New Shannon,PR,47480,3,3,1041,1988,32894727
P133,Residential,"96791 Laura Port Apt. 464
Port Aprilshire, VT 54654",New Katrinaside,GA,26875,1,2,1195,1956,84269758
P134,Commercial,"45497 Hogan Union Suite 137
West Lucas, NM 51898",Port Meganside,SD,65053,4,2,2459,2006,55578548
P135,Commercial,"914 Fernandez Trafficway Suite 408
Port Keith, MN 79241",Port Lisaport,HI,85345,5,3,4386,1987,89093030
P136,Commercial,"934 James Lakes Apt. 943
Lindachester, TX 80700",New Donna,KY,58731,5,3,4052,1998,19645189
P137,Commercial,"3188 Black Villages
East Brad, SC 19241",Timothymouth,MD,25246,5,1,3566,1994,21702265
P138,Residential,"11394 Friedman Fall Apt. 114
Port Stephenside, AZ 91005",Butlermouth,VT,54201,5,2,1608,1976,77308178
P139,Commercial,"PSC 8296, Box 5736
APO AA 50308",Sarahtown,UT,65230,2,2,2028,2007,54165249
P140,Commercial,"347 Teresa Mills Suite 167
Port Kristi, VT 52856",South Hannah,MI,89951,4,1,1829,1951,55597237
P141,Commercial,"69249 Jessica Valley Suite 545
South Debrafort, OH 30099",Robinsonton,FL,75081,5,2,1820,1956,18516507
P142,Residential,"6091 Steven Neck Suite 795
Ericahaven, MI 97248",East Brandy,MN,85701,3,3,2775,1986,18655648
P143,Commercial,"948 Hall Stream
North Andrea, AL 70954",New Wendy,OH,29497,5,1,1885,2003,23592787
P144,Commercial,"417 Donald Extension
East Jerry, CO 32307",South Taylorburgh,TX,28905,4,3,2817,1990,17011149
P145,Residential,"7492 Crawford Prairie
East Paigeborough, DC 49681",West Amandamouth,AK,36164,2,2,4296,1987,6520438
P146,Commercial,"46847 Thomas Greens Suite 443
East Baileyburgh, AK 64843",Port Josephfurt,ND,61569,1,1,1267,1985,49797810
P147,Residential,"9069 Amanda Rapid Apt. 031
Jennifermouth, MA 15324",Lake Christopherborough,TX,70218,5,2,1708,1950,98779098
P148,Commercial,"339 Frank Port Apt. 620
Lake Amandachester, NH 91969",East Marcus,NE,58514,2,1,3193,1996,61730650
P149,Residential,"20998 Brandon Lodge Apt. 140
Andrewhaven, AL 86274",Barberchester,FL,14200,2,3,2242,1976,77005991
P150,Commercial,"2476 Brown Plaza
West Breannatown, FM 59997",Lake Rebecca,VI,26542,4,3,575,1969,73603340
P151,Residential,"5912 Daniel Shoal
Sheaview, HI 37457",Cathymouth,DC,99024,4,2,1051,1970,37334835
P152,Commercial,"562 Michael Extensions Suite 676
Lake Davidfort, AK 14366",Lake Jeremytown,MA,38733,3,2,3048,2015,14630909
P153,Residential,"USNS Boyle
FPO AE 27140",Diazshire,ID,42823,3,2,1416,2014,10992314
P154,Residential,"293 Lee Mews Apt. 107
Amandaberg, CA 02785",West Patricia,MH,62317,2,3,1657,2011,59918942
P155,Commercial,"USCGC Brown
FPO AE 10961",Camachoville,AZ,39323,5,3,1065,2001,3011206
P156,Residential,"97749 Sarah Freeway Suite 599
Lake Brandon, MP 95218",North Charlesburgh,SC,76725,3,2,2998,1950,95280034
P157,Commercial,"0597 Joshua Hills
South Ronaldchester, TX 72895",South Taylorborough,NE,78117,1,2,2653,2014,59332200
P158,Residential,"977 Ronald Knolls Suite 483
Port Cody, AK 53739",Nancyborough,KS,69927,5,3,1899,2010,57039082
P159,Commercial,"5134 Matthews Courts Suite 528
Graychester, HI 40402",Port Benjaminhaven,DC,40969,1,3,2273,1998,39889212
P160,Residential,"785 Billy Forges
Jacksonmouth, WY 55433",West David,FL,63685,5,1,4376,1981,68759975
P161,Residential,"8093 Brown Point
South Aaronchester, PR 30953",West Eric,KY,91730,1,1,4430,1989,84110754
P162,Commercial,"USNV Mason
FPO AA 59962",Donnaport,IA,64291,1,1,3953,1991,55911571
P163,Residential,"28359 Michael Harbors
Port Robert, MT 56722",North Candice,VI,99903,4,1,1659,1992,27954373
P164,Commercial,"6336 Cuevas Plaza Suite 611
South Bryanburgh, WY 15875",New Michaela,MP,58363,4,1,856,1957,97921352
P165,Residential,"26174 Pamela Ridges Suite 742
West Edward, OR 66442",East Stephanie,CA,27536,4,3,2833,1951,79707431
P166,Residential,"61715 Shelley Manors
Lake Colton, MO 86252",New Kayla,VA,19996,4,3,1548,1972,41557554
P167,Commercial,"679 Weiss Falls Suite 104
South Reneeside, IN 63441",New Mary,ID,36650,1,2,2253,1950,90964284
P168,Residential,"584 Steven Extension Apt. 923
Port Jenniferstad, GU 35463",Toniton,HI,86139,1,1,1884,1973,11470544
P169,Residential,"29367 Elizabeth Heights Suite 916
New Lindsayfurt, WV 31421",South Markland,AZ,20389,4,1,1274,2008,23193337
P170,Commercial,"7860 Susan Flats
West Daniel, MP 26881",North Andreaside,NC,95069,5,2,4518,1957,38075064
P171,Commercial,"656 Karen Trafficway
Leeview, WI 68884",Lake Angela,NJ,76930,1,3,2946,1993,3313413
P172,Residential,"92813 Benjamin Cove Suite 453
West Danielview, DE 70163",North Megan,IA,54897,1,2,4159,1972,17071847
P173,Residential,"7621 Wilson Courts
Watsonport, GA 77126",Lake Karenton,AR,14347,3,2,3664,2018,45978380
P174,Residential,"USNS Johnson
FPO AA 54187",Taylorborough,PW,57809,1,1,2762,1983,17819684
P175,Commercial,"43374 Neal Trail Apt. 236
Coopermouth, NV 28995",West Christopherhaven,PR,39940,5,1,1477,1985,94607239
P176,Commercial,"65022 Kelly Ville Suite 319
Taylorland, IN 27260",Jessicaland,AZ,99116,2,2,4889,1963,1981269
P177,Commercial,"56791 Green Hill
New Justin, SD 04252",New Brian,SD,55749,4,3,1277,1979,90616361
P178,Residential,"PSC 2679, Box 3306
APO AE 88477",Thompsonborough,PA,16035,4,2,4514,2002,36538397
P179,Commercial,"02372 Brandy Ranch
Weaverborough, AR 06127",Morganbury,IL,89001,5,1,3306,1950,54432046
P180,Commercial,"86397 Anne Hollow Apt. 944
Whitakerside, CT 48710",Walltown,TX,19203,5,1,3327,1986,6401024
P181,Commercial,"02538 Michelle Rapids
Thomasfort, KS 59030",Roachfurt,WI,99714,2,2,4521,1980,31437179
P182,Commercial,"592 Annette Gardens
Joshuamouth, IA 14510",Wilsonborough,UT,60200,3,2,1161,1987,24591957
P183,Commercial,"PSC 2259, Box 5106
APO AA 13280",North Melissa,CT,11215,3,1,2266,1975,29942992
P184,Commercial,"5907 Gina Inlet Suite 482
South Michaelborough, IN 07727",North Beverlyfurt,TN,70437,5,1,4632,2021,14799496
P185,Commercial,"631 Powell Stream Suite 478
North Alan, MD 10136",Michaelbury,AK,77798,2,1,2784,1953,79960045
P186,Commercial,"13932 Olson Burgs
Carrollfort, MD 76019",Lawrencefurt,NY,75219,3,1,3202,1953,60870986
P187,Residential,"567 Beck Burgs Apt. 355
Kristinborough, OH 27894",North Jonathon,DC,16497,4,2,1873,1994,89901594
P188,Residential,"52161 Kim Stream Suite 566
New Kristopherchester, NV 30493",East Kimberlyton,MT,22901,3,1,921,1965,82642846
P189,Commercial,"64959 Burke Path
Amandatown, MN 01087",Lake Tammyfort,KS,12130,1,1,1139,2011,28249064
P190,Commercial,"6255 Michael Trace Apt. 009
Padillahaven, IN 65247",Shaunmouth,NM,33415,3,1,1250,2003,32917450
P191,Commercial,"1720 Allen Freeway
Richardsport, KY 51203",Jesusmouth,MD,59286,3,3,2455,1955,95412166
P192,Residential,"66834 Pace Ports
Amyburgh, ID 93327",Port Rebeccaville,MO,12177,5,3,842,1968,98477861
P193,Commercial,"109 Craig Locks Apt. 787
Port Emilytown, OH 19647",Pacemouth,UT,29337,2,2,4925,1953,53082867
P194,Commercial,"905 David Plains
West Courtneyberg, CO 80963",Michaelland,MA,38297,3,1,2324,2006,67694372
P195,Commercial,"959 Greer Port
New Diamond, DE 81500",West Chelsea,AS,37432,5,2,4499,1972,70903750
P196,Residential,"6620 Walker Inlet Apt. 107
Lake Dana, ND 35619",West Sabrinamouth,WA,91837,3,3,3594,1965,34156677
P197,Residential,"045 Kathleen Mission Suite 069
Richardfort, FL 96377",Melissaberg,KY,52056,5,3,2575,2019,93642186
P198,Residential,"6116 Kristy Green
Hamiltonstad, SD 76817",Beverlyville,FL,72361,2,3,4607,1994,28575085
P199,Residential,"01816 Rebecca Loop
Christopherville, MN 46043",Millermouth,PW,54867,3,3,1616,2014,86777779
P200,Commercial,"USNS Gill
FPO AP 80326",Bradleystad,VA,25121,5,1,3481,1960,7877953
P201,Residential,"43787 Flores Fields Apt. 238
North Russell, IA 82064",Kellishire,AL,79444,3,1,4586,2006,49239267
P202,Commercial,"7213 Hester Harbors Apt. 381
Smithmouth, MS 89716",Wrightfurt,MA,94254,1,1,2573,1994,47345353
P203,Residential,"3532 Tanner Mills Apt. 198
New Tonyside, TN 74497",East Michelle,AR,56988,4,2,557,1984,66205773
P204,Commercial,"06571 Martin Courts Suite 216
West Donna, AS 16480",Lake Rebecca,WY,68204,3,1,1743,2005,41600378
P205,Commercial,"45379 Traci Lane
Lake Marieberg, LA 42525",Elliottport,KY,79445,3,2,1728,2020,76723116
P206,Residential,"254 Brown Prairie
New Angelside, NH 80514",Hernandezport,NC,48475,1,3,1865,1952,91836933
P207,Commercial,"0263 Garcia Vista
New Rachael, PR 77956",Murphymouth,AL,51254,2,2,1403,1955,85677219
P208,Commercial,"28605 Espinoza Light Apt. 341
Carrollmouth, UT 51936",North Susan,GA,86680,5,1,2977,1970,87466767
P209,Residential,"USS Thomas
FPO AA 65000",Nelsonberg,LA,88133,3,1,1002,1961,53519909
P210,Residential,"70550 Johnson Mews Apt. 106
Davidmouth, IL 24014",West Sandrabury,DE,10697,1,3,1401,1985,38119260
P211,Commercial,"76268 Kristen Road
Debraville, VT 97692",Warrenmouth,IN,56447,1,3,3185,1991,93346743
P212,Residential,"6345 Dakota Pines
New Latashaton, UT 88526",North Molly,NH,26706,4,1,3445,2009,71877238
P213,Commercial,"636 Cynthia Inlet Suite 376
Morganton, NH 55115",Lake Elizabeth,AS,30933,4,3,1015,1987,58340239
P214,Residential,"15509 Matthew Rue Apt. 261
East Felicia, NV 74016",Cannonshire,WY,93004,3,1,2201,1991,97662030
P215,Residential,"1985 Roy Drives Suite 765
North Kevin, MO 51406",Monicamouth,NY,28251,4,3,1717,1961,2632534
P216,Commercial,"84110 Roberson Isle
Lake Drew, WV 64785",Palmerfort,TN,51284,1,2,1193,2006,28311753
P217,Residential,"64494 Jones Bridge
North Michaelport, IA 69305",Chamberston,NE,38847,4,2,3814,1972,32980618
P218,Commercial,"230 Mcclure Corner
Bartlettview, AS 48359",Duartechester,LA,63300,2,1,4997,1996,27779522
P219,Commercial,"5067 Karen Mount Suite 492
West April, CA 62845",East Brittney,MT,44828,5,3,3219,1980,30049758
P220,Commercial,"722 Lindsay Plaza
Doyleton, OH 64684",Christopherbury,OH,76800,3,3,2734,1952,68694147
P221,Commercial,"0755 Spencer Drives Suite 277
West Danielleside, CA 46315",Lake Tiffanyhaven,GA,78272,4,3,4717,1950,79129164
P222,Residential,"92103 Tyrone Shoals Apt. 791
South Paul, CA 26739",Port Eric,IA,47249,3,1,3254,1999,72790239
P223,Residential,"8946 Davila Falls Suite 312
Bryanton, GU 73238",Lake Jason,MH,71311,2,2,1177,1973,64398337
P224,Commercial,"Unit 3927 Box 6830
DPO AP 14403",Rachelmouth,GA,51661,4,1,3790,1980,80995400
P225,Commercial,"232 Sarah Fork Apt. 197
Lake Kara, OK 22795",Judithmouth,CO,55280,3,2,2039,1972,90532516
P226,Residential,"615 Lisa Plaza Apt. 258
East Mariobury, NV 75257",Rebeccaton,PA,38437,2,1,4005,1968,76803887
P227,Residential,"680 Gregory Lake
West Annette, MT 38844",Olsonshire,MS,55736,1,2,945,1999,84854353
