student_id,course_id,enrollment_id,grade
ST20,CS15,ST20CS15,1
ST97,CS13,ST97CS13,80
ST17,CS02,ST17CS02,31
ST79,CS01,ST79CS01,83
ST63,CS02,ST63CS02,35
ST61,CS18,ST61CS18,21
ST04,CS07,ST04CS07,9
ST36,CS16,ST36CS16,47
ST71,CS16,ST71CS16,2
ST48,CS02,ST48CS02,30
ST70,CS15,ST70CS15,91
ST10,CS09,ST10CS09,9
ST79,CS05,ST79CS05,43
ST43,CS05,ST43CS05,6
ST33,CS11,ST33CS11,83
ST12,CS09,ST12CS09,12
ST73,CS06,ST73CS06,26
ST94,CS20,ST94CS20,62
ST79,CS14,ST79CS14,56
ST07,CS10,ST07CS10,79
ST16,CS13,ST16CS13,43
ST99,CS10,ST99CS10,75
ST72,CS17,ST72CS17,52
ST92,CS02,ST92CS02,56
ST20,CS11,ST20CS11,33
ST65,CS16,ST65CS16,72
ST96,CS08,ST96CS08,40
ST43,CS14,ST43CS14,77
ST51,CS14,ST51CS14,3
ST31,CS08,ST31CS08,46
ST62,CS07,ST62CS07,52
ST21,CS13,ST21CS13,4
ST18,CS04,ST18CS04,73
ST46,CS10,ST46CS10,62
ST59,CS14,ST59CS14,49
ST41,CS05,ST41CS05,12
ST37,CS06,ST37CS06,46
ST27,CS20,ST27CS20,7
ST53,CS20,ST53CS20,94
ST11,CS11,ST11CS11,91
ST91,CS15,ST91CS15,40
ST22,CS06,ST22CS06,60
ST67,CS14,ST67CS14,77
ST96,CS18,ST96CS18,94
ST04,CS02,ST04CS02,84
ST08,CS15,ST08CS15,9
ST92,CS10,ST92CS10,58
ST89,CS05,ST89CS05,24
ST22,CS03,ST22CS03,57
ST38,CS19,ST38CS19,37
ST86,CS06,ST86CS06,8
ST59,CS14,ST59CS14,65
ST87,CS06,ST87CS06,47
ST08,CS15,ST08CS15,68
ST34,CS12,ST34CS12,44
ST88,CS18,ST88CS18,1
ST60,CS12,ST60CS12,57
ST37,CS15,ST37CS15,65
ST16,CS08,ST16CS08,24
ST13,CS07,ST13CS07,14
ST53,CS20,ST53CS20,57
ST47,CS20,ST47CS20,98
ST38,CS19,ST38CS19,77
ST56,CS11,ST56CS11,4
ST18,CS11,ST18CS11,23
ST76,CS14,ST76CS14,12
ST19,CS11,ST19CS11,53
ST66,CS04,ST66CS04,56
ST25,CS15,ST25CS15,68
ST93,CS10,ST93CS10,15
ST67,CS19,ST67CS19,80
ST41,CS17,ST41CS17,81
ST09,CS06,ST09CS06,40
ST20,CS06,ST20CS06,37
ST49,CS10,ST49CS10,61
ST04,CS08,ST04CS08,33
ST29,CS16,ST29CS16,92
ST36,CS06,ST36CS06,61
ST73,CS20,ST73CS20,49
ST17,CS16,ST17CS16,88
ST02,CS20,ST02CS20,57
ST41,CS10,ST41CS10,31
ST75,CS16,ST75CS16,25
ST34,CS18,ST34CS18,96
ST34,CS01,ST34CS01,96
ST44,CS09,ST44CS09,99
ST89,CS16,ST89CS16,71
ST77,CS16,ST77CS16,18
ST17,CS09,ST17CS09,4
ST63,CS02,ST63CS02,70
ST79,CS05,ST79CS05,21
ST81,CS11,ST81CS11,24
ST67,CS15,ST67CS15,41
ST79,CS16,ST79CS16,79
ST76,CS03,ST76CS03,40
ST72,CS02,ST72CS02,77
ST53,CS17,ST53CS17,44
ST54,CS19,ST54CS19,39
ST99,CS19,ST99CS19,46
ST12,CS19,ST12CS19,40
ST20,CS07,ST20CS07,15
ST73,CS08,ST73CS08,64
ST97,CS12,ST97CS12,47
ST06,CS01,ST06CS01,35
ST67,CS11,ST67CS11,32
ST96,CS17,ST96CS17,3
ST33,CS16,ST33CS16,88
ST06,CS15,ST06CS15,54
ST39,CS10,ST39CS10,50
ST27,CS14,ST27CS14,94
ST61,CS11,ST61CS11,40
ST59,CS04,ST59CS04,92
ST34,CS15,ST34CS15,73
ST04,CS02,ST04CS02,84
ST46,CS05,ST46CS05,50
ST15,CS01,ST15CS01,10
ST98,CS05,ST98CS05,79
ST38,CS15,ST38CS15,76
ST58,CS17,ST58CS17,27
ST29,CS13,ST29CS13,31
ST47,CS02,ST47CS02,15
ST88,CS17,ST88CS17,4
ST05,CS12,ST05CS12,13
ST79,CS01,ST79CS01,71
ST22,CS17,ST22CS17,83
ST71,CS06,ST71CS06,92
ST19,CS14,ST19CS14,35
ST31,CS12,ST31CS12,78
ST34,CS06,ST34CS06,33
ST53,CS18,ST53CS18,65
ST73,CS17,ST73CS17,47
ST59,CS02,ST59CS02,57
ST38,CS10,ST38CS10,11
ST28,CS06,ST28CS06,23
ST72,CS16,ST72CS16,3
ST74,CS16,ST74CS16,41
ST84,CS07,ST84CS07,25
ST51,CS06,ST51CS06,95
ST08,CS03,ST08CS03,57
ST90,CS14,ST90CS14,71
ST41,CS15,ST41CS15,67
ST29,CS10,ST29CS10,99
ST57,CS13,ST57CS13,97
ST50,CS18,ST50CS18,16
ST87,CS16,ST87CS16,5
ST60,CS03,ST60CS03,69
ST90,CS06,ST90CS06,26
ST75,CS20,ST75CS20,86
ST90,CS14,ST90CS14,96
ST22,CS06,ST22CS06,32
ST78,CS03,ST78CS03,74
ST65,CS03,ST65CS03,70
ST24,CS05,ST24CS05,90
ST79,CS16,ST79CS16,17
ST81,CS06,ST81CS06,99
ST54,CS12,ST54CS12,95
ST14,CS05,ST14CS05,39
ST07,CS08,ST07CS08,91
ST99,CS19,ST99CS19,26
ST99,CS12,ST99CS12,45
ST29,CS20,ST29CS20,57
ST72,CS10,ST72CS10,8
ST83,CS04,ST83CS04,14
ST42,CS09,ST42CS09,72
ST46,CS18,ST46CS18,43
ST19,CS16,ST19CS16,34
ST72,CS14,ST72CS14,55
ST58,CS11,ST58CS11,57
ST10,CS14,ST10CS14,27
ST30,CS03,ST30CS03,99
ST13,CS07,ST13CS07,39
ST59,CS07,ST59CS07,35
ST96,CS06,ST96CS06,68
ST06,CS13,ST06CS13,81
ST61,CS08,ST61CS08,88
ST83,CS08,ST83CS08,90
ST27,CS16,ST27CS16,83
ST86,CS07,ST86CS07,63
ST08,CS05,ST08CS05,8
ST33,CS17,ST33CS17,57
ST92,CS02,ST92CS02,21
ST76,CS20,ST76CS20,78
ST21,CS03,ST21CS03,91
ST31,CS11,ST31CS11,10
ST14,CS20,ST14CS20,37
ST53,CS19,ST53CS19,3
ST37,CS07,ST37CS07,59
ST88,CS01,ST88CS01,75
ST02,CS15,ST02CS15,14
ST33,CS02,ST33CS02,78
ST11,CS16,ST11CS16,94
ST57,CS02,ST57CS02,92
ST57,CS12,ST57CS12,46
ST68,CS14,ST68CS14,16
ST18,CS17,ST18CS17,29
ST49,CS19,ST49CS19,88
ST76,CS08,ST76CS08,10
ST59,CS01,ST59CS01,84
ST27,CS01,ST27CS01,66
ST75,CS02,ST75CS02,22
ST86,CS18,ST86CS18,97
ST36,CS01,ST36CS01,72
ST58,CS02,ST58CS02,70
ST98,CS09,ST98CS09,81
ST54,CS11,ST54CS11,46
ST17,CS03,ST17CS03,89
ST05,CS17,ST05CS17,42
ST09,CS14,ST09CS14,97
ST79,CS15,ST79CS15,16
ST12,CS11,ST12CS11,93
ST15,CS01,ST15CS01,84
ST78,CS04,ST78CS04,66
ST75,CS04,ST75CS04,72
ST78,CS01,ST78CS01,65
ST86,CS11,ST86CS11,86
ST19,CS01,ST19CS01,41
ST23,CS08,ST23CS08,44
ST78,CS19,ST78CS19,14
ST42,CS17,ST42CS17,9
ST51,CS19,ST51CS19,27
ST05,CS18,ST05CS18,36
ST80,CS02,ST80CS02,68
ST45,CS13,ST45CS13,54
ST88,CS10,ST88CS10,8
ST83,CS12,ST83CS12,82
ST95,CS19,ST95CS19,25
ST17,CS19,ST17CS19,74
ST95,CS20,ST95CS20,70
ST12,CS14,ST12CS14,85
ST10,CS11,ST10CS11,8
ST72,CS18,ST72CS18,30
ST60,CS15,ST60CS15,57
ST61,CS14,ST61CS14,89
ST67,CS02,ST67CS02,59
ST62,CS06,ST62CS06,64
ST21,CS18,ST21CS18,73
ST97,CS15,ST97CS15,14
ST87,CS17,ST87CS17,84
ST74,CS10,ST74CS10,33
ST34,CS14,ST34CS14,59
ST89,CS15,ST89CS15,28
ST08,CS03,ST08CS03,57
ST49,CS01,ST49CS01,96
ST79,CS14,ST79CS14,96
ST17,CS01,ST17CS01,63
ST01,CS10,ST01CS10,28
ST90,CS01,ST90CS01,19
ST25,CS20,ST25CS20,59
ST75,CS04,ST75CS04,11
ST37,CS16,ST37CS16,84
ST43,CS01,ST43CS01,73
ST23,CS13,ST23CS13,90
ST70,CS20,ST70CS20,31
ST25,CS10,ST25CS10,31
ST64,CS13,ST64CS13,23
ST18,CS12,ST18CS12,30
ST78,CS12,ST78CS12,45
ST50,CS15,ST50CS15,87
ST39,CS13,ST39CS13,9
ST88,CS13,ST88CS13,68
ST93,CS11,ST93CS11,13
ST62,CS17,ST62CS17,14
ST16,CS07,ST16CS07,14
ST77,CS12,ST77CS12,71
ST99,CS02,ST99CS02,7
ST72,CS15,ST72CS15,45
ST48,CS19,ST48CS19,16
ST90,CS07,ST90CS07,74
ST72,CS02,ST72CS02,55
ST35,CS09,ST35CS09,78
ST48,CS11,ST48CS11,53
ST11,CS02,ST11CS02,14
ST60,CS16,ST60CS16,85
ST69,CS03,ST69CS03,38
ST85,CS12,ST85CS12,75
ST71,CS01,ST71CS01,13
ST96,CS06,ST96CS06,68
ST87,CS04,ST87CS04,42
ST04,CS06,ST04CS06,27
ST71,CS02,ST71CS02,72
ST19,CS16,ST19CS16,38
ST93,CS15,ST93CS15,77
ST02,CS19,ST02CS19,66
ST85,CS16,ST85CS16,74
ST08,CS10,ST08CS10,59
ST32,CS18,ST32CS18,84
ST82,CS16,ST82CS16,55
ST64,CS16,ST64CS16,86
ST39,CS05,ST39CS05,34
ST08,CS15,ST08CS15,79
ST48,CS09,ST48CS09,93
ST97,CS14,ST97CS14,5
ST50,CS11,ST50CS11,23
ST64,CS09,ST64CS09,42
ST83,CS07,ST83CS07,75
ST17,CS07,ST17CS07,69
ST06,CS14,ST06CS14,33
ST64,CS06,ST64CS06,75
ST72,CS19,ST72CS19,29
ST30,CS20,ST30CS20,33
ST24,CS16,ST24CS16,57
ST71,CS20,ST71CS20,94
ST68,CS13,ST68CS13,78
ST15,CS04,ST15CS04,29
ST68,CS12,ST68CS12,12
ST05,CS13,ST05CS13,22
ST16,CS19,ST16CS19,72
ST67,CS02,ST67CS02,92
ST68,CS10,ST68CS10,83
ST16,CS16,ST16CS16,89
ST83,CS13,ST83CS13,99
ST61,CS11,ST61CS11,10
ST54,CS10,ST54CS10,52
ST55,CS07,ST55CS07,63
ST06,CS17,ST06CS17,53
ST74,CS12,ST74CS12,33
ST73,CS09,ST73CS09,11
ST35,CS04,ST35CS04,79
ST58,CS20,ST58CS20,25
ST68,CS08,ST68CS08,16
ST77,CS04,ST77CS04,91
ST79,CS04,ST79CS04,84
ST19,CS13,ST19CS13,54
ST24,CS08,ST24CS08,22
ST29,CS17,ST29CS17,45
ST13,CS01,ST13CS01,21
ST92,CS17,ST92CS17,49
ST72,CS10,ST72CS10,59
ST46,CS09,ST46CS09,23
ST50,CS11,ST50CS11,29
ST71,CS02,ST71CS02,35
ST34,CS08,ST34CS08,60
ST79,CS01,ST79CS01,96
ST82,CS16,ST82CS16,6
ST90,CS18,ST90CS18,33
ST52,CS05,ST52CS05,39
ST17,CS13,ST17CS13,41
ST51,CS04,ST51CS04,8
ST07,CS04,ST07CS04,81
ST32,CS20,ST32CS20,24
ST36,CS05,ST36CS05,98
ST62,CS16,ST62CS16,0
ST75,CS17,ST75CS17,70
ST12,CS14,ST12CS14,35
ST90,CS08,ST90CS08,63
ST74,CS08,ST74CS08,19
ST36,CS03,ST36CS03,69
ST99,CS17,ST99CS17,4
ST100,CS20,ST100CS20,48
ST72,CS03,ST72CS03,40
ST60,CS01,ST60CS01,7
ST04,CS02,ST04CS02,87
ST13,CS06,ST13CS06,65
ST92,CS09,ST92CS09,6
ST84,CS15,ST84CS15,65
ST58,CS12,ST58CS12,98
ST98,CS02,ST98CS02,81
ST30,CS19,ST30CS19,79
ST64,CS01,ST64CS01,56
ST33,CS10,ST33CS10,27
ST10,CS02,ST10CS02,54
ST38,CS04,ST38CS04,44
ST41,CS12,ST41CS12,45
ST97,CS03,ST97CS03,64
ST02,CS07,ST02CS07,62
ST93,CS13,ST93CS13,34
ST73,CS17,ST73CS17,58
ST30,CS08,ST30CS08,79
ST68,CS06,ST68CS06,20
ST04,CS02,ST04CS02,84
ST09,CS12,ST09CS12,42
ST78,CS18,ST78CS18,2
ST23,CS18,ST23CS18,45
ST94,CS15,ST94CS15,90
ST18,CS08,ST18CS08,99
ST74,CS17,ST74CS17,13
ST72,CS16,ST72CS16,86
ST19,CS02,ST19CS02,30
ST92,CS10,ST92CS10,91
ST87,CS07,ST87CS07,15
ST48,CS16,ST48CS16,8
ST67,CS02,ST67CS02,4
ST91,CS10,ST91CS10,33
ST78,CS01,ST78CS01,14
ST97,CS14,ST97CS14,98
ST56,CS20,ST56CS20,65
ST02,CS10,ST02CS10,91
ST54,CS17,ST54CS17,8
ST48,CS19,ST48CS19,96
ST56,CS16,ST56CS16,71
ST85,CS10,ST85CS10,86
ST47,CS20,ST47CS20,8
ST75,CS18,ST75CS18,12
ST40,CS10,ST40CS10,85
ST14,CS12,ST14CS12,0
ST68,CS20,ST68CS20,80
ST29,CS15,ST29CS15,77
ST55,CS12,ST55CS12,80
ST51,CS17,ST51CS17,93
